Track Name,Genre,Source,License
A Classic Education - NightOwl,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Actions - Devil's Words,Pop/Rock,DSD,Restricted
Actions - One Minute Smile,Pop/Rock,DSD,Restricted
Actions - South Of The Water,Pop/Rock,DSD,Restricted
Aimee Norwich - Child,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Al James - Schoolboy Facination,Pop/Rock,DSD,Restricted
Alexander Ross - Goodbye Bolero,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Alexander Ross - Velvet Curtain,Singer/Songwriter,MedleyDB,CC BY-NC-SA
AM Contra - Heart Peripheral,Pop/Rock,DSD,Restricted
Angela Thomas Wade - Milk Cow Blues,Country,DSD,Restricted
Angels In Amplifiers - I'm Alright,Rock,DSD,Restricted
ANiMAL - Clinic A,Rap,DSD,Restricted
ANiMAL - Easy Tiger,Rap,DSD,Restricted
ANiMAL - Rockshow,Rap,DSD,Restricted
Arise - Run Run Run,Reggae,DSD,Restricted
Atlantis Bound - It Was My Fault For Waiting,Pop/Rock,DSD,Restricted
Auctioneer - Our Future Faces,Singer/Songwriter,MedleyDB,CC BY-NC-SA
AvaLuna - Waterduct,Rock,MedleyDB,CC BY-NC-SA
Ben Carrigan - We'll Talk About It All Tonight,Pop/Rock,DSD,Restricted
BigTroubles - Phantom,Rock,MedleyDB,CC BY-NC-SA
Bill Chudziak - Children Of No-one,Pop/Rock,DSD,Restricted
BKS - Bulldozer,Pop/Rock,DSD,Restricted
BKS - Too Much,Pop/Rock,DSD,Restricted
Black Bloc - If You Want Success,Pop/Rock,DSD,Restricted
Bobby Nobody - Stitch Up,Pop/Rock,DSD,Restricted
Buitraker - Revo X,Pop/Rock,DSD,Restricted
Carlos Gonzalez - A Place For Us,Pop/Rock,DSD,Restricted
Celestial Shore - Die For Us,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Chris Durban - Celebrate,Electronic,DSD,Restricted
Clara Berry And Wooldog - Air Traffic,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Clara Berry And Wooldog - Stella,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Clara Berry And Wooldog - Waltz For My Victims,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Cnoc An Tursa - Bannockburn,Heavy Metal,DSD,Restricted
Creepoid - OldTree,Rock,MedleyDB,CC BY-NC-SA
Cristina Vane - So Easy,Pop/Rock,DSD,Restricted
Dark Ride - Burning Bridges,Heavy Metal,DSD,Restricted
Detsky Sad - Walkie Talkie,Pop/Rock,DSD,Restricted
Dreamers Of The Ghetto - Heavy Love,Pop,MedleyDB,CC BY-NC-SA
Drumtracks - Ghost Bitch,Pop/Rock,DSD,Restricted
Enda Reilly - Cur An Long Ag Seol,Pop/Rock,DSD,Restricted
Faces On Film - Waiting For Ga,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Fergessen - Back From The Start,Pop/Rock,DSD,Restricted
Fergessen - Nos Palpitants,Pop/Rock,DSD,Restricted
Fergessen - The Wind,Pop/Rock,DSD,Restricted
Flags - 54,Pop/Rock,DSD,Restricted
Forkupines - Semantics,Pop/Rock,DSD,Restricted
Georgia Wonder - Siren,Pop/Rock,DSD,Restricted
Girls Under Glass - We Feel Alright,Electronic,DSD,Restricted
Giselle - Moss,Electronic,DSD,Restricted
Grants - PunchDrunk,Rap,MedleyDB,CC BY-NC-SA
Helado Negro - Mitad Del Mundo,Pop,MedleyDB,CC BY-NC-SA
Hezekiah Jones - Borrowed Heart,Singer/Songwriter,MedleyDB,CC BY-NC-SA
Hollow Ground - Ill Fate,Heavy Metal,DSD,Restricted
Hollow Ground - Left Blind,Heavy Metal,DSD,Restricted
Hop Along - Sister Cities,Rock,MedleyDB,CC BY-NC-SA
Invisible Familiars - Disturbing Wildlife,Singer/Songwriter,MedleyDB,CC BY-NC-SA
